,id_municipio,populacao_urbana_2013,indice_sem_atend,indice_atend_solucao_ind,indice_atend_col_sem_trat,indice_atend_col_trat,sigla_uf,pop_sem_atend,pop_atend_solucao_ind,pop_atend_col_sem_trat,pop_atend_col_trat
58,1200252,11320,71.6,23.2,5.2,0.0,AC,8105.0,2626.0,589.0,0.0
59,1200302,16635,84.0,11.0,5.0,0.0,AC,13973.0,1830.0,832.0,0.0
60,1200328,2469,87.2,11.4,1.5,0.0,AC,2153.0,281.0,37.0,0.0
61,1200336,9443,99.1,0.3,0.6,0.0,AC,9358.0,28.0,57.0,0.0
62,1200344,5546,80.4,12.8,6.9,0.0,AC,4459.0,710.0,383.0,0.0
63,1200351,4424,77.7,19.4,3.0,0.0,AC,3437.0,858.0,133.0,0.0
64,1200385,10736,79.4,14.0,0.0,6.6,AC,8524.0,1503.0,0.0,709.0
65,1200393,3673,97.5,0.7,1.8,0.0,AC,3581.0,26.0,66.0,0.0
66,1200401,327970,31.9,12.0,0.0,56.1,AC,104622.0,39356.0,0.0,183991.0
67,1200427,4789,84.9,14.8,0.3,0.0,AC,4066.0,709.0,14.0,0.0
68,1200435,2167,93.1,6.0,0.9,0.0,AC,2017.0,130.0,20.0,0.0
69,1200450,13093,75.6,23.3,1.2,0.0,AC,9898.0,3051.0,157.0,0.0
70,1200500,26619,81.0,12.5,6.5,0.0,AC,21561.0,3327.0,1730.0,0.0
71,1200609,20428,85.1,12.6,2.3,0.0,AC,17384.0,2574.0,470.0,0.0
72,1200708,10927,62.8,12.2,25.0,0.0,AC,6862.0,1333.0,2732.0,0.0
73,1200807,2135,76.6,23.0,0.4,0.0,AC,1635.0,491.0,9.0,0.0
74,1300029,8491,57.3,29.7,13.0,0.0,AM,4865.0,2522.0,1104.0,0.0
75,1300060,5468,87.2,8.2,4.6,0.0,AM,4768.0,448.0,252.0,0.0
76,1300086,4755,90.9,0.2,8.9,0.0,AM,4322.0,10.0,423.0,0.0
77,1300102,11247,96.7,1.3,2.0,0.0,AM,10876.0,146.0,225.0,0.0
78,1300144,11685,88.6,10.8,0.6,0.0,AM,10353.0,1262.0,70.0,0.0
79,1300201,7812,98.1,0.6,1.3,0.0,AM,7664.0,47.0,102.0,0.0
80,1300300,15371,71.9,18.1,10.0,0.0,AM,11052.0,2782.0,1537.0,0.0
81,1300409,11761,68.9,22.6,8.5,0.0,AM,8103.0,2658.0,1000.0,0.0
82,1300508,13499,90.2,8.0,1.8,0.0,AM,12176.0,1080.0,243.0,0.0
83,1300607,22641,78.8,16.2,5.0,0.0,AM,17841.0,3668.0,1132.0,0.0
84,1300631,8705,57.6,36.4,6.0,0.0,AM,5014.0,3169.0,522.0,0.0
85,1300680,8478,45.4,52.8,1.9,0.0,AM,3849.0,4476.0,161.0,0.0
86,1300706,20712,89.6,0.9,9.5,0.0,AM,18558.0,186.0,1968.0,0.0
87,1300805,15719,84.6,13.2,2.2,0.0,AM,13298.0,2075.0,346.0,0.0
88,1300839,5622,68.8,30.1,1.1,0.0,AM,3868.0,1692.0,62.0,0.0
89,1300904,7740,79.4,0.2,20.4,0.0,AM,6146.0,15.0,1579.0,0.0
90,1301001,20993,70.0,9.7,20.3,0.0,AM,14695.0,2036.0,4262.0,0.0
91,1301100,10215,69.6,18.3,12.1,0.0,AM,7110.0,1869.0,1236.0,0.0
92,1301159,1117,95.4,1.4,3.2,0.0,AM,1066.0,16.0,36.0,0.0
93,1301209,53154,44.5,4.5,51.1,0.0,AM,23654.0,2392.0,27162.0,0.0
94,1301308,17502,64.7,1.6,33.7,0.0,AM,11324.0,280.0,5898.0,0.0
95,1301407,23946,83.9,13.8,2.3,0.0,AM,20091.0,3305.0,551.0,0.0
96,1301506,11658,90.3,7.9,1.9,0.0,AM,10527.0,921.0,222.0,0.0
97,1301605,14480,97.1,1.2,1.7,0.0,AM,14060.0,174.0,246.0,0.0
98,1301654,8127,86.2,11.6,2.2,0.0,AM,7005.0,943.0,179.0,0.0
99,1301704,33887,79.4,13.3,7.4,0.0,AM,26906.0,4507.0,2508.0,0.0
100,1301803,10826,97.3,0.5,2.2,0.0,AM,10534.0,54.0,238.0,0.0
101,1301852,31624,82.3,14.7,3.0,0.0,AM,26027.0,4649.0,949.0,0.0
102,1301902,63139,72.6,21.3,6.2,0.0,AM,45839.0,13449.0,3915.0,0.0
103,1301951,4580,90.0,3.0,7.0,0.0,AM,4122.0,137.0,321.0,0.0
104,1302009,6893,90.5,7.7,1.8,0.0,AM,6238.0,531.0,124.0,0.0
105,1302108,2738,77.5,19.6,2.9,0.0,AM,2122.0,537.0,79.0,0.0
106,1302207,6531,84.0,2.3,13.7,0.0,AM,5486.0,150.0,895.0,0.0
107,1302306,10191,98.6,0.1,1.3,0.0,AM,10048.0,10.0,132.0,0.0
108,1302405,26710,73.2,6.3,20.5,0.0,AM,19552.0,1683.0,5476.0,0.0
109,1302504,64877,69.5,18.8,11.7,0.0,AM,45090.0,12197.0,7591.0,0.0
110,1302553,8217,79.4,13.8,6.7,0.0,AM,6524.0,1134.0,551.0,0.0
